idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
8158,SP,3540507,PORANGABA,Centro,0,24/07/26 20:50,-,-,2.8,3,5,8.8,8.8,8.8,1,0
7680,SP,3504909,BANANAL,Centro,0.4,24/07/26 20:40,0.8,0.8,0.8,1.8,2.6,2.6,2.6,2.6,1,0
3476,SP,3520400,ILHABELA,Centro,0,24/07/26 19:30,-,-,-,-,-,-,-,-,1,0
6689,SP,3502507,APARECIDA,Itaguacu,0,24/11/25 12:10,-,-,-,-,-,-,-,-,1,0
3612,SP,3550308,SÃO PAULO,Lapa,0,24/07/26 00:40,-,-,-,-,-,-,1.4,1.4,1,0
3893,SP,3548500,SANTOS,Nova Cintra,0,22/07/26 12:50,-,-,-,-,-,-,-,-,1,0
7030,SP,3509205,CAJAMAR,Água Fria,1,09/07/24 16:40,-,-,-,-,-,-,-,-,1,0
4343,SP,3504503,AVARÉ,Av Prof. Celso F Da Silva,0,01/04/24 13:50,-,-,-,-,-,-,-,-,1,0
7018,SP,3504107,ATIBAIA,Itapetinga,0,24/07/26 20:20,-,0.2,1.6,2.6,3,3,3,3,1,0
3826,SP,3550308,SÃO PAULO,Pirajussara,0,24/07/26 20:30,-,-,-,-,-,1.59,1.59,1.59,1,0
7250,SP,3526902,LIMEIRA,Campos Elíseos,0,24/07/26 21:00,-,3.6,6,9.6,13.8,13.8,13.8,13.8,1,0
4397,SP,3550308,SÃO PAULO,Vila Babilônia,0,24/07/26 20:10,-,-,-,-,-,1,1,1,1,0
4361,SP,3518305,GUARAREMA,Lambari,0,29/12/22 13:10,-,-,-,-,-,-,-,-,1,0
13803,SP,3541000,PRAIA GRANDE,Xixová Geotec,0.2,24/07/26 08:40,-,-,-,-,1.2,3.8,3.8,3.8,10,0
4099,SP,3547809,SANTO ANDRÉ,Borda do Campo,0,24/07/26 21:00,-,0.2,0.2,0.4,1.2,1.8,1.8,1.8,1,0
3548,SP,3549904,SÃO JOSÉ DOS CAMPOS,Vila Cândida,0,22/07/26 18:10,-,-,-,-,-,-,-,-,1,0
7282,SP,3552403,SUMARÉ,Jardim Basilicata,0,23/07/26 19:10,-,-,-,-,-,-,-,-,1,0
3511,SP,3555406,UBATUBA,Ubatumirim,0.2,03/07/26 04:10,-,-,-,-,-,-,-,-,1,0
4184,SP,3550308,SÃO PAULO,Senai Pirituba,0,24/07/26 21:00,-,-,-,-,-,1,1,1,1,0
7079,SP,3534401,OSASCO,Jaguaribe,0,17/03/24 18:00,-,-,-,-,-,-,-,-,1,0
3898,SP,3551009,SÃO VICENTE,Jardim Rio Branco,0,23/07/26 16:40,-,-,-,-,-,-,-,-,1,0
7279,SP,3549805,SÃO JOSÉ DO RIO PRETO,São Francisco,0,19/07/26 15:20,-,-,-,-,-,-,-,-,1,0
3864,SP,3529906,MIRACATU,Kamaiti,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
8801,SP,3507605,BRAGANÇA PAULISTA,Rio Lavapés,0,24/07/26 20:10,-,0.4,1.4,3,3,3,3,3,3,0
6707,SP,3518800,GUARULHOS,Jardim Adriana,0,07/11/24 17:50,-,-,-,-,-,-,-,-,1,0
8156,SP,3538006,PINDAMONHANGABA,Policia Militar,0,24/07/26 21:10,1.6,3,3,3,3,3,3,3.2,1,0
4063,SP,3513801,DIADEMA,TaboÆo,0,31/12/16 23:00,-,-,-,-,-,-,-,-,1,0
3866,SP,3531100,MONGAGUÁ,Agenor de Campos,0.2,14/11/23 16:40,-,-,-,-,-,-,-,-,1,0
3860,SP,3523305,ITARIRI,Centro,0,26/11/25 04:10,-,-,-,-,-,-,-,-,1,0
3467,SP,3510500,CARAGUATATUBA,Rio do Ouro2,0.2,12/07/26 05:30,-,-,-,-,-,-,-,-,1,0
8812,SP,3556404,VARGEM GRANDE DO SUL,Corrego Santana,0,03/02/25 07:10,-,-,-,-,-,-,-,-,3,0
4385,SP,3535606,PARAIBUNA,ETA,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7686,SP,3512803,COSMÓPOLIS,Parque Ester,0,17/06/26 00:50,-,-,-,-,-,-,-,-,1,0
7696,SP,3527306,LOUVEIRA,Delegacia de Policia,0.2,24/07/26 08:30,-,-,-,-,0.4,0.6,0.6,0.6,1,0
4087,SP,3547809,SANTO ANDRÉ,Vila Curuça,0,24/07/26 20:40,-,-,-,-,-,1,1,1,1,0
8146,SP,3526407,LARANJAL PAULISTA,Centro,0,24/07/26 21:00,-,-,4,5,9.4,10.8,10.8,10.8,1,0
4069,SP,3529401,MAUÁ,Parque das Américas,0,24/07/26 20:20,-,-,-,0.2,0.2,1,1,1,1,0
8172,SP,3549607,SÃO JOSÉ DO BARREIRO,Delegacia de Policia Civil,0,24/07/26 20:50,0.8,0.8,0.8,1,1.6,1.6,1.6,8.6,1,0
7086,SP,3552205,SOROCABA,Morros,0,24/07/26 20:10,-,-,-,0.2,1,6.6,6.6,6.6,1,0
8123,SP,3503307,ARARAS,Vila D. Rosa Zurita,0,23/07/26 19:50,-,-,-,-,-,-,-,-,1,0
3812,SP,3550308,SÃO PAULO,Capão Redondo2,0,24/07/26 20:10,-,-,-,-,-,1.2,1.2,1.2,1,0
7270,SP,3543907,RIO CLARO,Jardim Inocoop,0,24/07/26 20:20,-,2.6,4.2,8,11.8,11.8,11.8,11.8,1,0
4101,SP,3547809,SANTO ANDRÉ,Jardim Ipanema,0,26/07/25 17:50,-,-,-,-,-,-,-,-,1,0
7068,SP,3525904,JUNDIAÍ,Roseira,0,24/07/26 21:20,0.2,0.4,3,3.8,4.4,4.4,4.4,4.4,1,0
13655,SP,3529401,MAUÁ,Jardim Zaira VIII,0,10/10/25 09:10,-,-,-,-,-,-,-,-,10,0
7248,SP,3526902,LIMEIRA,Centro,0,28/01/26 14:00,-,-,-,-,-,-,-,-,1,0
3835,SP,3506359,BERTIOGA,Jardim Lido,0,24/07/26 20:20,-,-,-,-,0.2,0.4,0.4,0.4,1,0
4114,SP,3548708,SÃO BERNARDO DO CAMPO,Batistine,0,25/05/23 08:30,-,-,-,-,-,-,-,-,1,0
4386,SP,3536000,PARAPUÃ,Rua Sergipe,0,24/07/26 20:20,-,-,-,15.8,19.8,30,30,30,1,0
7085,SP,3552205,SOROCABA,Brigadeiro Tobias,0,24/07/26 20:10,-,-,-,-,0.6,6.2,6.2,6.2,1,0
9895,SP,3518701,GUARUJÁ,Vila Baiana,0,23/07/26 19:10,-,-,-,-,-,1,1,1,10,0
3856,SP,3522109,ITANHAÉM,Centro,0,09/10/25 23:40,-,-,-,-,-,-,-,-,1,0
4125,SP,3548807,SÃO CAETANO DO SUL,Ceramica,0,24/07/26 20:20,-,-,-,-,-,1,1,1,1,0
